#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
    126.00,    1,       74.6,    25.1657,    0.77033,     131.44,  13.055411,  IDM,           57,        4,        4, , 1970-01-01T00:02:06Z,    74.5621
    127.00,    1,      100.0,    25.5522,    0.11996,     118.15,  13.412857,  IDM,           57,        4,        4, , 1970-01-01T00:02:07Z,    99.9732
    128.00,    1,      125.5,    25.4380,   -0.27753,     104.79,  13.259020,  IDM,           57,        4,        4, , 1970-01-01T00:02:08Z,   125.5002
    129.00,    1,      150.7,    25.0080,   -0.54204,      91.74,  12.784614,  IDM,           57,        4,        4, , 1970-01-01T00:02:09Z,   150.7446
    130.00,    1,      175.4,    24.3610,   -0.72158,      79.35,  11.957745,  IDM,           57,        4,        4, , 1970-01-01T00:02:10Z,   175.4431
    130.00,    1,      107.3,    15.8208,    4.82214,      62.18,  -8.540202,  IDM,           61,        4,        4, , 1970-01-01T00:02:10Z,   107.2651
    131.00,    1,      199.4,    23.5485,   -0.88760,      67.87,  10.982258,  IDM,           57,        4,        4, , 1970-01-01T00:02:11Z,   199.4116
    131.00,    1,      125.4,    20.4328,    4.34275,      67.98,  -3.115704,  IDM,           61,        4,        4, , 1970-01-01T00:02:11Z,   125.4335
    132.00,    1,      147.8,    24.1616,    3.11162,      68.65,   1.591465,  IDM,           61,        4,        4, , 1970-01-01T00:02:12Z,   147.8357
    133.00,    1,      173.2,    26.3309,    1.37325,      65.27,   4.891870,  IDM,           61,        4,        4, , 1970-01-01T00:02:13Z,   173.2272
    134.00,    1,      199.9,    26.8141,   -0.17142,      59.40,   6.620056,  IDM,           61,        4,        4, , 1970-01-01T00:02:14Z,   199.9256
    137.00,    1,        2.9,    14.8152,    4.65651,     198.60,  10.284829,  IDM,           64,        4,        4, , 1970-01-01T00:02:17Z,     2.8697
    138.00,    1,       19.9,    19.1736,    4.05578,     186.95,  12.942831,  IDM,           64,        4,        4, , 1970-01-01T00:02:18Z,    19.9152
    139.00,    1,       40.9,    22.7230,    3.08937,     172.92,  14.996852,  IDM,           64,        4,        4, , 1970-01-01T00:02:19Z,    40.9448
    140.00,    1,       65.0,    25.1911,    1.95822,     157.25,  16.191438,  IDM,           64,        4,        4, , 1970-01-01T00:02:20Z,    64.9957
    141.00,    1,       91.0,    26.3984,   -0.82158,     110.38,  19.328236,  IDM,           64,        4,        4, , 1970-01-01T00:02:21Z,    90.9526
    142.00,    1,      116.9,    25.4014,   -1.13191,      91.87,  17.629215,  IDM,           64,        4,        4, , 1970-01-01T00:02:22Z,   116.8778
    143.00,    1,      141.7,    24.1201,   -1.39801,      75.20,  15.669440,  IDM,           64,        4,        4, , 1970-01-01T00:02:23Z,   141.6604
    144.00,    1,      166.0,    24.9694,    0.98746,      99.38,  12.848381,  IDM,           64,        4,        4, , 1970-01-01T00:02:24Z,   166.0298
    144.00,    1,      101.3,    13.8800,    0.00000,      58.71, -11.089395,  IDM,           68,        4,        4, , 1970-01-01T00:02:24Z,   101.3240
    145.00,    1,      191.3,    25.3799,   -0.00817,      86.46,  12.846965,  IDM,           64,        4,        4, , 1970-01-01T00:02:25Z,   191.2852
    145.00,    1,      117.5,    18.4045,    4.26274,      67.78,  -6.975381,  IDM,           68,        4,        4, , 1970-01-01T00:02:25Z,   117.5096
    146.00,    1,      137.2,    19.4046,   -1.95146,      60.79,  18.109791,  IDM,           68,        4,        4, , 1970-01-01T00:02:26Z,   137.1756
    147.00,    1,      155.8,    18.0101,   -0.94276,      45.92,  11.773556,  IDM,           68,        4,        4, , 1970-01-01T00:02:27Z,   155.8000
    148.00,    1,      173.5,    17.6205,    0.04011,      36.84,   6.658552,  IDM,           68,        4,        4, , 1970-01-01T00:02:28Z,   173.5341
    149.00,    1,      191.3,    17.9884,    0.50247,      31.86,   3.734045,  IDM,           68,        4,        4, , 1970-01-01T00:02:29Z,   191.3033
    152.00,    1,       12.5,    17.3939,    4.13394,     228.67,  -2.417004,  IDM,           71,        4,        4, , 1970-01-01T00:02:32Z,    12.5385
    153.00,    1,       31.8,    20.9741,    3.07631,     229.33,   1.123429,  IDM,           71,        4,        4, , 1970-01-01T00:02:33Z,    31.8117
    154.00,    1,       54.1,    23.3942,    1.89958,     226.55,   4.332479,  IDM,           71,        4,        4, , 1970-01-01T00:02:34Z,    54.0930
    155.00,    1,       78.0,    24.3167,    0.55293,     135.69,  10.460004,  IDM,           71,        4,        4, , 1970-01-01T00:02:35Z,    78.0356
    156.00,    1,      102.5,    24.6114,    0.12392,     125.05,  10.765718,  IDM,           71,        4,        4, , 1970-01-01T00:02:36Z,   102.5337
    157.00,    1,      127.2,    24.5979,   -0.10549,     114.26,  10.764259,  IDM,           71,        4,        4, , 1970-01-01T00:02:37Z,   127.1566
    158.00,    1,      151.7,    24.4124,   -0.24260,     103.57,  10.598239,  IDM,           71,        4,        4, , 1970-01-01T00:02:38Z,   151.6729
    159.00,    1,      175.9,    24.1113,   -0.34538,      93.10,  10.318364,  IDM,           71,        4,        4, , 1970-01-01T00:02:39Z,   175.9432
    159.00,    1,      110.5,    16.7442,    4.69912,      59.43,  -7.367122,  IDM,           74,        4,        4, , 1970-01-01T00:02:39Z,   110.5162
    160.00,    1,      199.9,    23.7163,   -0.43599,      82.98,   9.911706,  IDM,           71,        4,        4, , 1970-01-01T00:02:40Z,   199.8645
    160.00,    1,      129.5,    21.1122,    3.99017,      64.36,  -2.604151,  IDM,           74,        4,        4, , 1970-01-01T00:02:40Z,   129.5057
    161.00,    1,      152.4,    24.3988,    2.63927,      64.97,   1.171694,  IDM,           74,        4,        4, , 1970-01-01T00:02:41Z,   152.3754
    162.00,    1,      177.8,    26.2009,    1.14661,      62.49,   3.566809,  IDM,           74,        4,        4, , 1970-01-01T00:02:42Z,   177.7984
    166.00,    1,        5.9,    15.7788,    4.69467,     211.28,   2.528248,  IDM,           78,        4,        4, , 1970-01-01T00:02:46Z,     5.9335
    167.00,    1,       24.0,    20.1889,    4.11929,     206.58,   6.785007,  IDM,           78,        4,        4, , 1970-01-01T00:02:47Z,    23.9663
    168.00,    1,       46.0,    23.8183,    3.18386,     197.96,  10.303263,  IDM,           78,        4,        4, , 1970-01-01T00:02:48Z,    46.0486
    169.00,    1,       71.2,    26.4011,    2.09036,     186.31,  12.809964,  IDM,           78,        4,        4, , 1970-01-01T00:02:49Z,    71.2489
    170.00,    1,       98.3,    27.2461,    0.17499,     112.40,  13.626856,  IDM,           78,        4,        4, , 1970-01-01T00:02:50Z,    98.2517
    171.00,    1,      125.5,    27.0916,   -0.38874,      98.81,  13.467474,  IDM,           78,        4,        4, , 1970-01-01T00:02:51Z,   125.4660
    172.00,    1,      152.3,    26.4832,   -0.76771,      85.61,  12.857694,  IDM,           78,        4,        4, , 1970-01-01T00:02:52Z,   152.2839
    173.00,    1,      178.3,    25.5578,   -1.04278,      73.20,  11.932725,  IDM,           78,        4,        4, , 1970-01-01T00:02:53Z,   178.3267
    173.00,    1,      104.2,    14.8518,    4.84948,      68.13, -10.705974,  IDM,           81,        4,        4, , 1970-01-01T00:02:53Z,   104.1973
    174.00,    1,      121.4,    19.5237,    4.39731,      75.28,  -1.760948,  IDM,           81,        4,        4, , 1970-01-01T00:02:54Z,   121.4213
    175.00,    1,      142.2,    20.4169,   -2.37652,      64.04,  20.416865,  IDM,           81,        4,        4, , 1970-01-01T00:02:55Z,   142.1724
    176.00,    1,      161.2,    17.4147,   -3.41951,      45.04,  17.414666,  IDM,           81,        4,        4, , 1970-01-01T00:02:56Z,   161.1715
    177.00,    1,      176.8,    13.7062,   -3.86046,      29.45,  13.706235,  IDM,           81,        4,        4, , 1970-01-01T00:02:57Z,   176.7659
    178.00,    1,      188.5,     9.8456,   -3.79237,      17.68,   9.845635,  IDM,           81,        4,        4, , 1970-01-01T00:02:58Z,   188.5342
    179.00,    1,      196.6,     6.5389,   -2.50053,       9.95,   5.320624,  IDM,           81,        4,        4, , 1970-01-01T00:02:59Z,   196.6060
    180.00,    1,       54.5,     7.4670,    0.00000,     141.72,   2.488993,  IDM,           85,        4,        4, , 1970-01-01T00:03:00Z,    54.5090
    181.00,    1,       64.4,    12.2959,    4.66872,     136.64,   7.422811,  IDM,           85,        4,        4, , 1970-01-01T00:03:01Z,    64.4151
    182.00,    1,       78.9,    16.5803,    3.88298,     127.37,  10.864020,  IDM,           85,        4,        4, , 1970-01-01T00:03:02Z,    78.9204
    183.00,    1,       97.2,    19.8824,    2.82602,     116.70,  10.154616,  IDM,           85,        4,        4, , 1970-01-01T00:03:03Z,    97.2378
    184.00,    1,      118.3,    22.1042,    1.73068,     106.88,   9.659112,  IDM,           85,        4,        4, , 1970-01-01T00:03:04Z,   118.3215
    185.00,    1,      141.0,    22.6182,   -0.77293,      64.19,   9.803601,  IDM,           85,        4,        4, , 1970-01-01T00:03:05Z,   140.9564
    186.00,    1,      163.2,    21.7846,   -0.89353,      54.86,   8.866652,  IDM,           85,        4,        4, , 1970-01-01T00:03:06Z,   163.1682
    187.00,    1,      184.5,    20.8110,   -1.03637,      46.48,   7.885032,  IDM,           85,        4,        4, , 1970-01-01T00:03:07Z,   184.4778
    188.00,    1,      113.9,    17.3918,    4.09680,      84.88,  -2.322880,  IDM,           88,        4,        4, , 1970-01-01T00:03:08Z,   113.8649
    189.00,    1,      133.1,    20.8119,    2.79123,      84.81,   2.252975,  IDM,           88,        4,        4, , 1970-01-01T00:03:09Z,   133.0773
    190.00,    1,      155.0,    22.7857,    1.33969,      80.92,   5.231774,  IDM,           88,        4,        4, , 1970-01-01T00:03:10Z,   154.9958
    191.00,    1,      176.5,    20.1201,   -2.10047,      36.61,   6.481693,  IDM,           88,        4,        4, , 1970-01-01T00:03:11Z,   176.4599
    192.00,    1,      195.7,    18.5393,   -1.30819,      30.96,   4.932391,  IDM,           88,        4,        4, , 1970-01-01T00:03:12Z,   195.7306
    195.00,    1,        9.1,    16.5479,    4.27089,     231.49,   0.881886,  IDM,           91,        4,        4, , 1970-01-01T00:03:15Z,     9.1400
    196.00,    1,       27.6,    20.2894,    3.24815,     228.32,   5.244614,  IDM,           91,        4,        4, , 1970-01-01T00:03:16Z,    27.6452
    197.00,    1,       49.3,    22.8698,    2.04280,     221.45,   8.264903,  IDM,           91,        4,        4, , 1970-01-01T00:03:17Z,    49.3247
    198.00,    1,       72.9,    24.0033,    0.72115,     139.73,  11.166647,  IDM,           91,        4,        4, , 1970-01-01T00:03:18Z,    72.8525
    199.00,    1,       97.1,    24.4100,    0.19696,     128.31,  11.584882,  IDM,           91,        4,        4, , 1970-01-01T00:03:19Z,    97.1009
    200.00,    1,      121.5,    24.4371,   -0.08650,     116.69,  11.613580,  IDM,           91,        4,        4, , 1970-01-01T00:03:20Z,   121.5470
    201.00,    1,      145.9,    24.2533,   -0.25258,     105.15,  11.424692,  IDM,           91,        4,        4, , 1970-01-01T00:03:21Z,   145.9055
    202.00,    1,      170.0,    23.9323,   -0.37353,      93.88,  11.094112,  IDM,           91,        4,        4, , 1970-01-01T00:03:22Z,   170.0081
